id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
427,Kejurnas Atlet Veteran Tenis Perebutkan Piala Menpora di Yogyakarta,,Olahraga,kejurnas atlet veteran tenis perebutkan piala menpora yogyakarta,kejurnas atlet veteran tenis perebutkan piala menpora yogyakarta,kejurnas atlet veteran tenis perebutkan piala menpora yogyakarta,kejurnas atlet veteran tenis rebut piala menpora yogyakarta,"['kejurnas', 'atlet', 'veteran', 'tenis', 'rebut', 'piala', 'menpora', 'yogyakarta']"
428,"Video Logistik MotoGP Mendarat di Lombok, Langsung Diangkut ke Mandalika",,Olahraga,video logistik motogp mendarat lombok langsung diangkut mandalika,video logistik motogp mendarat lombok langsung diangkut mandalika,video logistik motogp mendarat lombok langsung diangkut mandalika,video logistik motogp darat lombok langsung angkut mandalika,"['video', 'logistik', 'motogp', 'darat', 'lombok', 'langsung', 'angkut', 'mandalika']"
429,"10 Lifter RI Tampil di Kejuaraan Dunia Angkat Besi, Ada 'Perang Saudara'",,Olahraga,lifter ri tampil kejuaraan dunia angkat besi saudara,lifter ri tampil kejuaraan dunia angkat besi saudara,lifter ri tampil kejuaraan dunia angkat besi saudara,lifter ri tampil juara dunia angkat besi saudara,"['lifter', 'ri', 'tampil', 'juara', 'dunia', 'angkat', 'besi', 'saudara']"
430,3 Rekomendasi Olahraga Beginner Friendly untuk Dicoba!,,Olahraga,rekomendasi olahraga beginner friendly dicoba,rekomendasi olahraga beginner friendly dicoba,rekomendasi olahraga beginner friendly dicoba,rekomendasi olahraga beginner friendly coba,"['rekomendasi', 'olahraga', 'beginner', 'friendly', 'coba']"
431,"Marc Marquez Tiba di Jakarta, Sapa Fans Pakai Bahasa Indonesia",,Olahraga,marc marquez jakarta sapa fans pakai bahasa indonesia,marc marquez jakarta sapa fans pakai bahasa indonesia,marc marquez jakarta sapa fans pakai bahasa indonesia,marc marquez jakarta sapa fans pakai bahasa indonesia,"['marc', 'marquez', 'jakarta', 'sapa', 'fans', 'pakai', 'bahasa', 'indonesia']"
432,"Krisna Bayu Temui Ibas, Bahas Kejuaraan Dunia Sambo Remaja dan Junior",,Olahraga,krisna bayu temui ibas bahas kejuaraan dunia sambo remaja junior,krisna bayu temui ibas bahas kejuaraan dunia sambo remaja junior,krisna bayu temui ibas bahas kejuaraan dunia sambo remaja junior,krisna bayu temu ibas bahas juara dunia sambo remaja junior,"['krisna', 'bayu', 'temu', 'ibas', 'bahas', 'juara', 'dunia', 'sambo', 'remaja', 'junior']"
433,MotoGP 2025: Alex Marquez Kecewa Gagal Tunda Pesta Marc Marquez di Motegi,,Olahraga,motogp alex marquez kecewa gagal tunda pesta marc marquez motegi,motogp alex marquez kecewa gagal tunda pesta marc marquez motegi,motogp alex marquez kecewa gagal tunda pesta marc marquez motegi,motogp alex marquez kecewa gagal tunda pesta marc marquez motegi,"['motogp', 'alex', 'marquez', 'kecewa', 'gagal', 'tunda', 'pesta', 'marc', 'marquez', 'motegi']"
434,"KTM Jeblok di Motegi, Bidik Podium di Mandalika",,Olahraga,ktm jeblok motegi bidik podium mandalika,ktm jeblok motegi bidik podium mandalika,ktm jeblok motegi bidik podium mandalika,ktm jeblok motegi bidik podium mandalika,"['ktm', 'jeblok', 'motegi', 'bidik', 'podium', 'mandalika']"
435,Ketika Greysia Polii Jadi 'Pelatih' Dadakan,,Olahraga,greysia polii dadakan,greysia polii dadakan,greysia polii dadakan,greysia polii dada,"['greysia', 'polii', 'dada']"
436,Karena MotoGP Mandalika 2025 Bukan Sekadar Balapan Biasa,,Olahraga,motogp mandalika balapan,motogp mandalika balapan,motogp mandalika balapan,motogp mandalika balap,"['motogp', 'mandalika', 'balap']"
