id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
149,"RUU Sisdiknas Mau Diuji Publik, Wamendikdasmen Sebut Poin-poin Pentingnya",,Pendidikan,ruu sisdiknas diuji publik wamendikdasmen,ruu sisdiknas diuji publik wamendikdasmen,ruu sisdiknas diuji publik wamendikdasmen,ruu sisdiknas uji publik wamendikdasmen,"['ruu', 'sisdiknas', 'uji', 'publik', 'wamendikdasmen']"
150,Apakah Siswa Tidak Ikut SNBP 2026 Harus Ikut TKA? Begini Penjelasannya,,Pendidikan,siswa snbp tka penjelasannya,siswa snbp tka penjelasannya,siswa snbp tka penjelasannya,siswa snbp tka jelas,"['siswa', 'snbp', 'tka', 'jelas']"
151,"Telkom University Buka Rekrutmen Dosen, Cek Syarat dan Batas Waktu Daftarnya!",,Pendidikan,telkom university buka rekrutmen dosen cek syarat batas daftarnya,telkom university buka rekrutmen dosen cek syarat batas daftarnya,telkom university buka rekrutmen dosen cek syarat batas daftarnya,telkom university buka rekrutmen dosen cek syarat batas daftar,"['telkom', 'university', 'buka', 'rekrutmen', 'dosen', 'cek', 'syarat', 'batas', 'daftar']"
152,Perpustakaan Jakarta Raih Rekor MURI Pencetak Buku Anak Terbanyak Tingkat Provinsi,,Pendidikan,perpustakaan jakarta raih rekor muri pencetak buku anak tingkat provinsi,perpustakaan jakarta raih rekor muri pencetak buku anak tingkat provinsi,perpustakaan jakarta raih rekor muri pencetak buku anak tingkat provinsi,pustaka jakarta raih rekor muri cetak buku anak tingkat provinsi,"['pustaka', 'jakarta', 'raih', 'rekor', 'muri', 'cetak', 'buku', 'anak', 'tingkat', 'provinsi']"
153,"9 Dosen Unpad Masuk 2% Peneliti Teratas Dunia Versi Stanford, Ini Daftarnya",,Pendidikan,dosen unpad masuk peneliti teratas dunia versi stanford daftarnya,dosen unpad masuk peneliti teratas dunia versi stanford daftarnya,dosen unpad masuk peneliti teratas dunia versi stanford daftarnya,dosen unpad masuk teliti atas dunia versi stanford daftar,"['dosen', 'unpad', 'masuk', 'teliti', 'atas', 'dunia', 'versi', 'stanford', 'daftar']"
154,Nilai TKA Diusulkan buat Seleksi Masuk Akpol-Akmil,,Pendidikan,nilai tka diusulkan seleksi masuk,nilai tka diusulkan seleksi masuk,nilai tka diusulkan seleksi masuk,nilai tka usul seleksi masuk,"['nilai', 'tka', 'usul', 'seleksi', 'masuk']"
155,"Wamendikdasmen Sebut Semua Sekolah Termasuk yang Elite Dapat IFP, Kecuali Menolak",,Pendidikan,wamendikdasmen sekolah elite ifp kecuali menolak,wamendikdasmen sekolah elite ifp kecuali menolak,wamendikdasmen sekolah elite ifp kecuali menolak,wamendikdasmen sekolah elite ifp kecuali tolak,"['wamendikdasmen', 'sekolah', 'elite', 'ifp', 'kecuali', 'tolak']"
156,"Pendidikan dr Tan Shot Yen, Lulusan FKUI-Kampus Filsafat yang Kritik Menu MBG",,Pendidikan,pendidikan dr tan shot yen lulusan filsafat kritik menu mbg,pendidikan dr tan shot yen lulusan filsafat kritik menu mbg,pendidikan dr tan shot yen lulusan filsafat kritik menu mbg,didik dr tan shot yen lulus filsafat kritik menu mbg,"['didik', 'dr', 'tan', 'shot', 'yen', 'lulus', 'filsafat', 'kritik', 'menu', 'mbg']"
157,"Guru Belum Prioritas, Hampir 30% Anggaran Pendidikan 2026 Dipakai untuk MBG",,Pendidikan,guru prioritas anggaran pendidikan dipakai mbg,guru prioritas anggaran pendidikan dipakai mbg,guru prioritas anggaran pendidikan dipakai mbg,guru prioritas anggar didik pakai mbg,"['guru', 'prioritas', 'anggar', 'didik', 'pakai', 'mbg']"
158,"Wamendikdasmen: Buta Aksara di Indonesia Masih 0,92%, Tahun Ini Semoga Tuntas",,Pendidikan,wamendikdasmen buta aksara indonesia semoga tuntas,wamendikdasmen buta aksara indonesia semoga tuntas,wamendikdasmen buta aksara indonesia semoga tuntas,wamendikdasmen buta aksara indonesia moga tuntas,"['wamendikdasmen', 'buta', 'aksara', 'indonesia', 'moga', 'tuntas']"
159,Ribuan Judul Buku Jadi Incaran Pengunjung IIBF ke-45,,Pendidikan,ribuan judul buku incaran pengunjung iibf,ribuan judul buku incaran pengunjung iibf,ribuan judul buku incaran pengunjung iibf,ribu judul buku incar unjung iibf,"['ribu', 'judul', 'buku', 'incar', 'unjung', 'iibf']"
160,Tanggapan BGN Usai Menu MBG Dikritik: Sering Variasi Menu Permintaan Anak-anak,,Pendidikan,tanggapan bgn menu mbg dikritik variasi menu permintaan,tanggapan bgn menu mbg dikritik variasi menu permintaan,tanggapan bgn menu mbg dikritik variasi menu permintaan,tanggap bgn menu mbg kritik variasi menu minta,"['tanggap', 'bgn', 'menu', 'mbg', 'kritik', 'variasi', 'menu', 'minta']"
161,"157 Negara Akui Palestina, Dosen UGM Sorot Konsekuensinya",,Pendidikan,negara akui palestina dosen ugm sorot konsekuensinya,negara akui palestina dosen ugm sorot konsekuensinya,negara akui palestina dosen ugm sorot konsekuensinya,negara aku palestina dosen ugm sorot konsekuensi,"['negara', 'aku', 'palestina', 'dosen', 'ugm', 'sorot', 'konsekuensi']"
162,"Ramai Kasus Keracunan MBG Hiu Goreng, Apakah Manusia Bisa Makan Daging Hiu?",,Pendidikan,ramai keracunan mbg hiu goreng manusia makan daging hiu,ramai keracunan mbg hiu goreng manusia makan daging hiu,ramai keracunan mbg hiu goreng manusia makan daging hiu,ramai racun mbg hiu goreng manusia makan daging hiu,"['ramai', 'racun', 'mbg', 'hiu', 'goreng', 'manusia', 'makan', 'daging', 'hiu']"
163,"Protes 'Stop Tot Tot Wuk Wuk', Pakar IPB: Potensi Pembangkangan Sipil",,Pendidikan,protes tot tot wuk wuk pakar ipb potensi pembangkangan sipil,protes tot tot wuk wuk pakar ipb potensi pembangkangan sipil,protes tot tot wuk wuk pakar ipb potensi pembangkangan sipil,protes tot tot wuk wuk pakar ipb potensi bangkang sipil,"['protes', 'tot', 'tot', 'wuk', 'wuk', 'pakar', 'ipb', 'potensi', 'bangkang', 'sipil']"
164,"15 Periset UI Masuk 2% Peneliti Teratas Dunia Versi Stanford, Siapa Saja?",,Pendidikan,periset ui masuk peneliti teratas dunia versi stanford,periset ui masuk peneliti teratas dunia versi stanford,periset ui masuk peneliti teratas dunia versi stanford,riset ui masuk teliti atas dunia versi stanford,"['riset', 'ui', 'masuk', 'teliti', 'atas', 'dunia', 'versi', 'stanford']"
165,"Keseruan ASEAN Robotic Day 2025, Bisa Tanding  Bola dengan Robot!",,Pendidikan,keseruan asean robotic day tanding bola robot,keseruan asean robotic day tanding bola robot,keseruan asean robotic day tanding bola robot,seru asean robotic day tanding bola robot,"['seru', 'asean', 'robotic', 'day', 'tanding', 'bola', 'robot']"
166,Pakar IPB Ungkap Bahaya Remaja Curhat ke AI: Bisa Bikin Ketergantungan!,,Pendidikan,pakar ipb bahaya remaja curhat ai bikin ketergantungan,pakar ipb bahaya remaja curhat ai bikin ketergantungan,pakar ipb bahaya remaja curhat ai bikin ketergantungan,pakar ipb bahaya remaja curhat ai bikin gantung,"['pakar', 'ipb', 'bahaya', 'remaja', 'curhat', 'ai', 'bikin', 'gantung']"
167,Kepala Disdik DKI Jakarta Imbau Semua Siswa Ikut TKA 2025,,Pendidikan,kepala disdik dki jakarta imbau siswa tka,kepala disdik dki jakarta imbau siswa tka,kepala disdik dki jakarta imbau siswa tka,kepala disdik dki jakarta imbau siswa tka,"['kepala', 'disdik', 'dki', 'jakarta', 'imbau', 'siswa', 'tka']"
168,"Hari Ini, 511 Peserta Siap Bertanding di ASEAN Robotic Day 2025",,Pendidikan,peserta bertanding asean robotic day,peserta bertanding asean robotic day,peserta bertanding asean robotic day,serta tanding asean robotic day,"['serta', 'tanding', 'asean', 'robotic', 'day']"
169,"6 Tokoh Terkenal di Dunia yang Berasal dari India, Gandhi hingga CEO Google",,Pendidikan,tokoh terkenal dunia berasal india gandhi ceo google,tokoh terkenal dunia berasal india gandhi ceo google,tokoh terkenal dunia berasal india gandhi ceo google,tokoh kenal dunia asal india gandhi ceo google,"['tokoh', 'kenal', 'dunia', 'asal', 'india', 'gandhi', 'ceo', 'google']"
170,"TKA Bisa Didaftarkan dari Luar Negeri, Registrasi Masih Dibuka hingga 5 Oktober!",,Pendidikan,tka didaftarkan negeri registrasi dibuka oktober,tka didaftarkan negeri registrasi dibuka oktober,tka didaftarkan negeri registrasi dibuka oktober,tka daftar negeri registrasi buka oktober,"['tka', 'daftar', 'negeri', 'registrasi', 'buka', 'oktober']"
171,"Inspirasi dari Wisudawan Tertua ITS, Raih IPK 3,95 pada Usia 63 Tahun",,Pendidikan,inspirasi wisudawan tertua its raih ipk usia,inspirasi wisudawan tertua its raih ipk usia,inspirasi wisudawan tertua its raih ipk usia,inspirasi wisudawan tua its raih ipk usia,"['inspirasi', 'wisudawan', 'tua', 'its', 'raih', 'ipk', 'usia']"
172,"Pendaftaran Program Pascasarjana Unpad Semester Genap 2025/2026 Dibuka, Cek!",,Pendidikan,pendaftaran program pascasarjana unpad semester genap dibuka cek,pendaftaran program pascasarjana unpad semester genap dibuka cek,pendaftaran program pascasarjana unpad semester genap dibuka cek,daftar program pascasarjana unpad semester genap buka cek,"['daftar', 'program', 'pascasarjana', 'unpad', 'semester', 'genap', 'buka', 'cek']"
173,Apakah Hari Kesaktian Pancasila 1 Oktober Siswa Libur? Cek Ketentuan Resminya,,Pendidikan,kesaktian pancasila oktober siswa libur cek ketentuan resminya,kesaktian pancasila oktober siswa libur cek ketentuan resminya,kesaktian pancasila oktober siswa libur cek ketentuan resminya,sakti pancasila oktober siswa libur cek tentu resmi,"['sakti', 'pancasila', 'oktober', 'siswa', 'libur', 'cek', 'tentu', 'resmi']"
174,"Hemat Waktu dan Biaya, Kuasai RAB Proyek Lewat Kelas Eksklusif Software ACCURATE",,Pendidikan,hemat biaya kuasai rab proyek kelas eksklusif software accurate,hemat biaya kuasai rab proyek kelas eksklusif software accurate,hemat biaya kuasai rab proyek kelas eksklusif software accurate,hemat biaya kuasa rab proyek kelas eksklusif software accurate,"['hemat', 'biaya', 'kuasa', 'rab', 'proyek', 'kelas', 'eksklusif', 'software', 'accurate']"
175,Tabel Perkalian 1-10 Lengkap dengan Trik Cepat Menghafal,,Pendidikan,tabel perkalian lengkap trik cepat menghafal,tabel perkalian lengkap trik cepat menghafal,tabel perkalian lengkap trik cepat menghafal,tabel kali lengkap trik cepat hafal,"['tabel', 'kali', 'lengkap', 'trik', 'cepat', 'hafal']"
176,Membangun Karakter Positif jadi Mudah Lewat Kelas Online Pengembangan Diri,,Pendidikan,membangun karakter positif mudah kelas online pengembangan,membangun karakter positif mudah kelas online pengembangan,membangun karakter positif mudah kelas online pengembangan,bangun karakter positif mudah kelas online kembang,"['bangun', 'karakter', 'positif', 'mudah', 'kelas', 'online', 'kembang']"
177,KLH Perkenalkan Instrumen Kepedulian Lingkungan di Sekolah,,Pendidikan,klh perkenalkan instrumen kepedulian lingkungan sekolah,klh perkenalkan instrumen kepedulian lingkungan sekolah,klh perkenalkan instrumen kepedulian lingkungan sekolah,klh kenal instrumen peduli lingkung sekolah,"['klh', 'kenal', 'instrumen', 'peduli', 'lingkung', 'sekolah']"
178,ANBK SD di Jambi Terpaksa Digelar di Rumah Guru,,Pendidikan,anbk sd jambi terpaksa digelar rumah guru,anbk sd jambi terpaksa digelar rumah guru,anbk sd jambi terpaksa digelar rumah guru,anbk sd jambi paksa gelar rumah guru,"['anbk', 'sd', 'jambi', 'paksa', 'gelar', 'rumah', 'guru']"
179,Infografis: Alokasi Anggaran Pendidikan dalam APBN 2026,,Pendidikan,infografis alokasi anggaran pendidikan apbn,infografis alokasi anggaran pendidikan apbn,infografis alokasi anggaran pendidikan apbn,infografis alokasi anggar didik apbn,"['infografis', 'alokasi', 'anggar', 'didik', 'apbn']"
180,Siswa Suka Gugup Saat Presentasi di Kelas? Ini 3 Tips Mengatasinya,,Pendidikan,siswa suka gugup presentasi kelas tips mengatasinya,siswa suka gugup presentasi kelas tips mengatasinya,siswa suka gugup presentasi kelas tips mengatasinya,siswa suka gugup presentasi kelas tips atas,"['siswa', 'suka', 'gugup', 'presentasi', 'kelas', 'tips', 'atas']"
181,"Kreatif, Siswa SMKN 1 Plupuh Bikin Seragam Batik Sendiri",,Pendidikan,kreatif siswa smkn plupuh bikin seragam batik,kreatif siswa smkn plupuh bikin seragam batik,kreatif siswa smkn plupuh bikin seragam batik,kreatif siswa smkn plupuh bikin seragam batik,"['kreatif', 'siswa', 'smkn', 'plupuh', 'bikin', 'seragam', 'batik']"
182,Jawaban Istana soal Usulan JPPI agar MBG Disetop,,Pendidikan,istana usulan jppi mbg disetop,istana usulan jppi mbg disetop,istana usulan jppi mbg disetop,istana usul jppi mbg setop,"['istana', 'usul', 'jppi', 'mbg', 'setop']"
183,"LKPP Buka Pendaftaran Magang 2025 untuk Mahasiswa dan Fresh Graduate, Berminat?",,Pendidikan,lkpp buka pendaftaran magang mahasiswa fresh graduate berminat,lkpp buka pendaftaran magang mahasiswa fresh graduate berminat,lkpp buka pendaftaran magang mahasiswa fresh graduate berminat,lkpp buka daftar magang mahasiswa fresh graduate minat,"['lkpp', 'buka', 'daftar', 'magang', 'mahasiswa', 'fresh', 'graduate', 'minat']"
184,"Atlas Indonesia Edisi 38 Provinsi Hadir, Ini Proses Pembuatannya",,Pendidikan,atlas indonesia edisi provinsi hadir proses pembuatannya,atlas indonesia edisi provinsi hadir proses pembuatannya,atlas indonesia edisi provinsi hadir proses pembuatannya,atlas indonesia edisi provinsi hadir proses buat,"['atlas', 'indonesia', 'edisi', 'provinsi', 'hadir', 'proses', 'buat']"
185,BINUS SCHOOL Serpong Padukan Cambridge & IB untuk Siapkan Generasi Unggul,,Pendidikan,binus school serpong padukan cambridge ib siapkan generasi unggul,binus school serpong padukan cambridge ib siapkan generasi unggul,binus school serpong padukan cambridge ib siapkan generasi unggul,bus school serpong padu cambridge ib siap generasi unggul,"['bus', 'school', 'serpong', 'padu', 'cambridge', 'ib', 'siap', 'generasi', 'unggul']"
186,Apa Itu Bintang Jasa Utama yang Diberikan Prabowo untuk Bill Gates?,,Pendidikan,bintang jasa utama prabowo bill gates,bintang jasa utama prabowo bill gates,bintang jasa utama prabowo bill gates,bintang jasa utama prabowo bill gates,"['bintang', 'jasa', 'utama', 'prabowo', 'bill', 'gates']"
187,"Kritik Keras Menu MBG Susu hingga Snack, Ahli Gizi: Nggak Masuk Akal",,Pendidikan,kritik keras menu mbg susu snack ahli gizi nggak masuk akal,kritik keras menu mbg susu snack ahli gizi nggak masuk akal,kritik keras menu mbg susu snack ahli gizi tidak masuk akal,kritik keras menu mbg susu snack ahli gizi tidak masuk akal,"['kritik', 'keras', 'menu', 'mbg', 'susu', 'snack', 'ahli', 'gizi', 'tidak', 'masuk', 'akal']"
188,Ahli BIG: Literasi Geospasial Penting bagi Siswa untuk Memecahkan Masalah,,Pendidikan,ahli big literasi geospasial siswa memecahkan,ahli big literasi geospasial siswa memecahkan,ahli big literasi geospasial siswa memecahkan,ahli big literasi geospasial siswa pecah,"['ahli', 'big', 'literasi', 'geospasial', 'siswa', 'pecah']"
189,BMKG Peringatkan Dampak Topan Ragasa di Indonesia: Wilayah Ini Bakal Diguyur Hujan!,,Pendidikan,bmkg peringatkan dampak topan ragasa indonesia wilayah diguyur hujan,bmkg peringatkan dampak topan ragasa indonesia wilayah diguyur hujan,bmkg peringatkan dampak topan ragasa indonesia wilayah diguyur hujan,bmkg ingat dampak topan ragasa indonesia wilayah guyur hujan,"['bmkg', 'ingat', 'dampak', 'topan', 'ragasa', 'indonesia', 'wilayah', 'guyur', 'hujan']"
190,"Alih-alih Pakai Google Maps, Ini Pentingnya Belajar Geografi dari Atlas",,Pendidikan,pakai google maps belajar geografi atlas,pakai google maps belajar geografi atlas,pakai google maps belajar geografi atlas,pakai google maps ajar geografi atlas,"['pakai', 'google', 'maps', 'ajar', 'geografi', 'atlas']"
191,"Susul Pengakuan, Inggris Update Peta Palestina di Laman Resmi",,Pendidikan,susul pengakuan inggris update peta palestina laman resmi,susul pengakuan inggris update peta palestina laman resmi,susul pengakuan inggris update peta palestina laman resmi,susul aku inggris update peta palestina laman resmi,"['susul', 'aku', 'inggris', 'update', 'peta', 'palestina', 'laman', 'resmi']"
192,Motor Ojol Itu Antarkan Afani Gapai Cita-cita Jadi Dokter,,Pendidikan,motor ojol antarkan afani gapai dokter,motor ojol antarkan afani gapai dokter,motor ojol antarkan afani gapai dokter,motor ojol antar afani gapai dokter,"['motor', 'ojol', 'antar', 'afani', 'gapai', 'dokter']"
193,"Pendaftaran SMA Unggulan CT Arsa Dibuka, Sekolah Gratis Plus Dapat Laptop!",,Pendidikan,pendaftaran sma unggulan ct arsa dibuka sekolah gratis plus laptop,pendaftaran sma unggulan ct arsa dibuka sekolah gratis plus laptop,pendaftaran sma unggulan ct arsa dibuka sekolah gratis plus laptop,daftar sma unggul ct arsa buka sekolah gratis plus laptop,"['daftar', 'sma', 'unggul', 'ct', 'arsa', 'buka', 'sekolah', 'gratis', 'plus', 'laptop']"
194,5 Dosen UNS Masuk Daftar 2% Peneliti Dunia Versi Stanford/Elsevier,,Pendidikan,dosen uns masuk daftar peneliti dunia versi,dosen uns masuk daftar peneliti dunia versi,dosen uns masuk daftar peneliti dunia versi,dosen uns masuk daftar teliti dunia versi,"['dosen', 'uns', 'masuk', 'daftar', 'teliti', 'dunia', 'versi']"
195,DPR Minta Kemendikdasmen Bareng BGN Cari Solusi Keracunan MBG,,Pendidikan,dpr kemendikdasmen bareng bgn cari solusi keracunan mbg,dpr kemendikdasmen bareng bgn cari solusi keracunan mbg,dpr kemendikdasmen bareng bgn cari solusi keracunan mbg,dpr kemendikdasmen bareng bgn cari solusi racun mbg,"['dpr', 'kemendikdasmen', 'bareng', 'bgn', 'cari', 'solusi', 'racun', 'mbg']"
196,"3 Pekerjaan yang Aman dari Ancaman AI, Dokter Termasuk?",,Pendidikan,pekerjaan aman ancaman ai dokter,pekerjaan aman ancaman ai dokter,pekerjaan aman ancaman ai dokter,kerja aman ancam ai dokter,"['kerja', 'aman', 'ancam', 'ai', 'dokter']"
197,"Profil Abdullah Azwar Anas, Eks Menpan yang Diperiksa di Kasus Pengadaan Chromebook",,Pendidikan,profil abdullah azwar anas eks menpan diperiksa pengadaan chromebook,profil abdullah azwar anas eks menpan diperiksa pengadaan chromebook,profil abdullah azwar anas eks menpan diperiksa pengadaan chromebook,profil abdullah azwar anas eks menpan periksa ada chromebook,"['profil', 'abdullah', 'azwar', 'anas', 'eks', 'menpan', 'periksa', 'ada', 'chromebook']"
198,"Beda dengan Indonesia, India Punya 8 Ujian Masuk Perguruan Tinggi!",,Pendidikan,beda indonesia india ujian masuk perguruan,beda indonesia india ujian masuk perguruan,beda indonesia india ujian masuk perguruan,beda indonesia india uji masuk guru,"['beda', 'indonesia', 'india', 'uji', 'masuk', 'guru']"
199,"Cara Cek PIP Lewat HP 2025: Panduan Resmi untuk SD, SMP, dan SMA",,Pendidikan,cek pip hp panduan resmi sd smp sma,cek pip hp panduan resmi sd smp sma,cek pip hp panduan resmi sd smp sma,cek pip hp pandu resmi sd smp sma,"['cek', 'pip', 'hp', 'pandu', 'resmi', 'sd', 'smp', 'sma']"
200,Memasak Pakai Garpu-Sendok Logam Bikin Daging Lebih Empuk? Ini Kata Sains,,Pendidikan,memasak pakai logam bikin daging empuk sains,memasak pakai logam bikin daging empuk sains,memasak pakai logam bikin daging empuk sains,masak pakai logam bikin daging empuk sains,"['masak', 'pakai', 'logam', 'bikin', 'daging', 'empuk', 'sains']"
201,"Beasiswa Baznas Rusia 2025 Dibuka Lagi, Begini Syaratnya",,Pendidikan,beasiswa baznas rusia dibuka syaratnya,beasiswa baznas rusia dibuka syaratnya,beasiswa baznas rusia dibuka syaratnya,beasiswa baznas rusia buka syarat,"['beasiswa', 'baznas', 'rusia', 'buka', 'syarat']"
202,"10 Negara dengan Inovasi Terbaik di Dunia, Indonesia Tak Masuk 50 Besar",,Pendidikan,negara inovasi terbaik dunia indonesia masuk,negara inovasi terbaik dunia indonesia masuk,negara inovasi terbaik dunia indonesia masuk,negara inovasi baik dunia indonesia masuk,"['negara', 'inovasi', 'baik', 'dunia', 'indonesia', 'masuk']"
203,Benarkah Hewan Punya Konsep Pejantan Alfa yang Dominan?,,Pendidikan,hewan konsep pejantan alfa dominan,hewan konsep pejantan alfa dominan,hewan konsep pejantan alfa dominan,hewan konsep jantan alfa dominan,"['hewan', 'konsep', 'jantan', 'alfa', 'dominan']"
204,Video Brian Yuliarto Masuk World's Top 2% Scientists 4 Tahun Berturut-turut,,Pendidikan,video brian yuliarto masuk world top scientists,video brian yuliarto masuk world top scientists,video brian yuliarto masuk world top scientists,video brian yuliarto masuk world top scientists,"['video', 'brian', 'yuliarto', 'masuk', 'world', 'top', 'scientists']"
205,"BP Tapera Buka 19 Lowongan Kerja Tahap 2 2025 , Ada yang untuk Semua Jurusan",,Pendidikan,bp tapera buka lowongan kerja tahap jurusan,bp tapera buka lowongan kerja tahap jurusan,bp tapera buka lowongan kerja tahap jurusan,bp tapera buka lowong kerja tahap jurus,"['bp', 'tapera', 'buka', 'lowong', 'kerja', 'tahap', 'jurus']"
206,"Bentuk Perubahan Sosial: Contoh, Faktor, dan Dampaknya dalam Kehidupan Sehari-hari",,Pendidikan,bentuk perubahan sosial contoh faktor dampaknya kehidupan,bentuk perubahan sosial contoh faktor dampaknya kehidupan,bentuk perubahan sosial contoh faktor dampaknya kehidupan,bentuk ubah sosial contoh faktor dampak hidup,"['bentuk', 'ubah', 'sosial', 'contoh', 'faktor', 'dampak', 'hidup']"
207,"Pendaftaran SIMAK UI Pascasarjana Kembali Dibuka, Cek Jadwalnya!",,Pendidikan,pendaftaran simak ui pascasarjana dibuka cek jadwalnya,pendaftaran simak ui pascasarjana dibuka cek jadwalnya,pendaftaran simak ui pascasarjana dibuka cek jadwalnya,daftar simak ui pascasarjana buka cek jadwal,"['daftar', 'simak', 'ui', 'pascasarjana', 'buka', 'cek', 'jadwal']"
208,Perbedaan Sel Hewan dan Sel Tumbuhan: Fungsi dan Penjelasan Lengkapnya,,Pendidikan,perbedaan sel hewan sel tumbuhan fungsi penjelasan lengkapnya,perbedaan sel hewan sel tumbuhan fungsi penjelasan lengkapnya,perbedaan sel hewan sel tumbuhan fungsi penjelasan lengkapnya,beda sel hewan sel tumbuh fungsi jelas lengkap,"['beda', 'sel', 'hewan', 'sel', 'tumbuh', 'fungsi', 'jelas', 'lengkap']"
209,5 Peserta Terbaik di Kelas Business Kickstarter Episode 2!,,Pendidikan,peserta terbaik kelas business kickstarter episode,peserta terbaik kelas business kickstarter episode,peserta terbaik kelas business kickstarter episode,serta baik kelas business kickstarter episode,"['serta', 'baik', 'kelas', 'business', 'kickstarter', 'episode']"
210,Video: 11 Nama Ilmuwan BRIN dalam Daftar 2% Peneliti Terbaik Dunia,,Pendidikan,video nama ilmuwan brin daftar peneliti terbaik dunia,video nama ilmuwan brin daftar peneliti terbaik dunia,video nama ilmuwan brin daftar peneliti terbaik dunia,video nama ilmuwan brin daftar teliti baik dunia,"['video', 'nama', 'ilmuwan', 'brin', 'daftar', 'teliti', 'baik', 'dunia']"
211,"Hidup Lebih Baik Dimulai dari Kebiasaan, Daftar Kelas Online Membentuk Karakter",,Pendidikan,hidup kebiasaan daftar kelas online membentuk karakter,hidup kebiasaan daftar kelas online membentuk karakter,hidup kebiasaan daftar kelas online membentuk karakter,hidup biasa daftar kelas online bentuk karakter,"['hidup', 'biasa', 'daftar', 'kelas', 'online', 'bentuk', 'karakter']"
212,Tari Indonesia Memukau di 12th Silk Road International Film Festival di China!,,Pendidikan,tari indonesia memukau silk road international film festival china,tari indonesia memukau silk road international film festival china,tari indonesia memukau silk road international film festival china,tari indonesia pukau silk road international film festival china,"['tari', 'indonesia', 'pukau', 'silk', 'road', 'international', 'film', 'festival', 'china']"
213,Potret Interactive Flat Planel Bantu Siswa Tunanetra Belajar di Kelas,,Pendidikan,potret interactive flat planel bantu siswa tunanetra belajar kelas,potret interactive flat planel bantu siswa tunanetra belajar kelas,potret interactive flat planel bantu siswa tunanetra belajar kelas,potret interactive flat planel bantu siswa tunanetra ajar kelas,"['potret', 'interactive', 'flat', 'planel', 'bantu', 'siswa', 'tunanetra', 'ajar', 'kelas']"
214,"Seperti Ini Wajah Manusia yang Hidup 2.500 Tahun Lalu di India, Punya Tatapan Tajam",,Pendidikan,wajah manusia hidup india tatapan tajam,wajah manusia hidup india tatapan tajam,wajah manusia hidup india tatapan tajam,wajah manusia hidup india tatap tajam,"['wajah', 'manusia', 'hidup', 'india', 'tatap', 'tajam']"
215,Menguji Otonomi Pendidikan Tinggi,,Pendidikan,menguji otonomi pendidikan,menguji otonomi pendidikan,menguji otonomi pendidikan,uji otonomi didik,"['uji', 'otonomi', 'didik']"
216,"Terkenal Sebagai Penghasil Kopi, Mengapa Musang Luwak Bisa Berbau Pandan?",,Pendidikan,terkenal penghasil kopi musang luwak berbau pandan,terkenal penghasil kopi musang luwak berbau pandan,terkenal penghasil kopi musang luwak berbau pandan,kenal hasil kopi musang luwak bau pandan,"['kenal', 'hasil', 'kopi', 'musang', 'luwak', 'bau', 'pandan']"
217,"16 Peneliti ITB Masuk World's Top 2% Scientist Versi Stanford, Ada Mendiktisaintek",,Pendidikan,peneliti itb masuk world top scientist versi stanford mendiktisaintek,peneliti itb masuk world top scientist versi stanford mendiktisaintek,peneliti itb masuk world top scientist versi stanford mendiktisaintek,teliti itb masuk world top scientist versi stanford mendiktisaintek,"['teliti', 'itb', 'masuk', 'world', 'top', 'scientist', 'versi', 'stanford', 'mendiktisaintek']"
218,"Studi Ilmu Alam-Matematika Kian Kurang Diminati, Kemendikdasmen Perkuat Materi STEM",,Pendidikan,studi ilmu kian diminati kemendikdasmen perkuat materi stem,studi ilmu kian diminati kemendikdasmen perkuat materi stem,studi ilmu kian diminati kemendikdasmen perkuat materi stem,studi ilmu kian mati kemendikdasmen kuat materi stem,"['studi', 'ilmu', 'kian', 'mati', 'kemendikdasmen', 'kuat', 'materi', 'stem']"
219,"SMA Taruna Nusantara Buka Lowongan Guru 2025, Kualifikasi Lulusan S1-S2",,Pendidikan,sma taruna nusantara buka lowongan guru kualifikasi lulusan,sma taruna nusantara buka lowongan guru kualifikasi lulusan,sma taruna nusantara buka lowongan guru kualifikasi lulusan,sma taruna nusantara buka lowong guru kualifikasi lulus,"['sma', 'taruna', 'nusantara', 'buka', 'lowong', 'guru', 'kualifikasi', 'lulus']"
220,Sekolah Rakyat Semarang Siap Beroperasi Akhir September,,Pendidikan,sekolah rakyat semarang beroperasi september,sekolah rakyat semarang beroperasi september,sekolah rakyat semarang beroperasi september,sekolah rakyat semarang operasi september,"['sekolah', 'rakyat', 'semarang', 'operasi', 'september']"
221,"Mengenal Sumitronomics, Konsep Ekonomi yang Disinggung Menkeu Purbaya",,Pendidikan,mengenal sumitronomics konsep ekonomi disinggung menkeu purbaya,mengenal sumitronomics konsep ekonomi disinggung menkeu purbaya,mengenal sumitronomics konsep ekonomi disinggung menkeu purbaya,kenal sumitronomics konsep ekonomi singgung menkeu purbaya,"['kenal', 'sumitronomics', 'konsep', 'ekonomi', 'singgung', 'menkeu', 'purbaya']"
222,"UI Buka Lowongan Pegawai Tidak Tetap September 2025, Terbuka untuk Lulusan D3-S2!",,Pendidikan,ui buka lowongan pegawai september terbuka lulusan,ui buka lowongan pegawai september terbuka lulusan,ui buka lowongan pegawai september terbuka lulusan,ui buka lowong pegawai september buka lulus,"['ui', 'buka', 'lowong', 'pegawai', 'september', 'buka', 'lulus']"
